level,timestamp,test_name,renoir_compile_time,renoir_execution_time,ibis_total_time
INFO,2024-06-06 16:33:29.602,test_non_nullable_group_reduce_join_mutate,7.8952636750s,0.0969953490s,0.0696009370s
INFO,2024-06-06 16:33:35.674,test_non_nullable_inner_join_select,5.9232529200s,0.0931963510s,0.0364264120s
INFO,2024-06-06 16:33:44.087,test_non_nullable_join_group_reduce,8.2689766580s,0.0943629590s,0.0289117920s
INFO,2024-06-06 16:33:50.270,test_non_nullable_left_join,6.0116572730s,0.0951955720s,0.0445315520s
INFO,2024-06-06 16:33:55.762,test_non_nullable_outer_join,5.3457669880s,0.0928290340s,0.0256120830s
INFO,2024-06-06 16:33:58.781,test_nexmark_query_1,2.8163686200s,0.0933656330s,0.0369645990s
INFO,2024-06-06 16:34:01.792,test_nexmark_query_2,2.8087850160s,0.0929790530s,0.0483564280s
INFO,2024-06-06 16:34:07.877,test_nexmark_query_3,5.9098095380s,0.0963783560s,0.0258292510s
INFO,2024-06-06 16:34:16.531,test_nexmark_query_4,8.4249784820s,0.0970743440s,0.0650358350s
INFO,2024-06-06 16:34:25.329,test_nexmark_query_6,8.5798295400s,0.0953488500s,0.0691122230s
INFO,2024-06-06 16:35:19.910,test_nexmark_query_1,2.6086728890s,0.1240901530s,0.0402366410s
INFO,2024-06-06 16:35:22.727,test_nexmark_query_2,2.6117147640s,0.0950134840s,0.0464799170s
INFO,2024-06-06 16:35:28.696,test_nexmark_query_3,5.7825200900s,0.1048274540s,0.0290062620s
INFO,2024-06-06 16:35:37.451,test_nexmark_query_4,8.5192710650s,0.0970470220s,0.0635178040s
INFO,2024-06-06 16:35:46.295,test_nexmark_query_6,8.6163265590s,0.0985164780s,0.0700179110s
INFO,2024-06-06 16:35:49.884,test_non_nullable_filter_filter_select_select,2.6395605000s,0.0953113330s,0.0606434150s
INFO,2024-06-06 16:35:54.166,test_non_nullable_filter_group_mutate,4.1450773770s,0.0987352650s,0.0194273830s
INFO,2024-06-06 16:35:58.238,test_non_nullable_filter_group_mutate_reduce,3.9422881730s,0.0932495820s,0.0200664920s
INFO,2024-06-06 16:36:02.680,test_non_nullable_filter_group_select,4.3130283930s,0.0981254190s,0.0164879370s
INFO,2024-06-06 16:36:06.748,test_non_nullable_filter_reduce,3.9390573180s,0.0992914060s,0.0159188580s
INFO,2024-06-06 16:36:09.691,test_non_nullable_filter_select,2.8170133960s,0.0977113830s,0.0144979020s
INFO,2024-06-06 16:36:19.368,test_non_nullable_group_reduce_group_reduce_join,9.5361153820s,0.0957703610s,0.0267164770s
INFO,2024-06-06 16:36:28.394,test_non_nullable_group_reduce_join_mutate,8.8773103420s,0.0973980640s,0.0289859240s
INFO,2024-06-06 16:36:35.239,test_non_nullable_inner_join_select,6.6900254620s,0.0990127000s,0.0357167020s
INFO,2024-06-06 16:36:44.505,test_non_nullable_join_group_reduce,9.1236969190s,0.0966598880s,0.0247203840s
INFO,2024-06-06 16:36:50.736,test_non_nullable_left_join,6.0385017870s,0.0986548500s,0.0613878330s
INFO,2024-06-06 16:36:56.813,test_non_nullable_outer_join,5.9227665040s,0.0962276320s,0.0241348920s
INFO,2024-06-06 16:37:00.103,test_nullable_filter_filter_select_select,3.1415025520s,0.1028278180s,0.0161441850s
INFO,2024-06-06 16:37:04.948,test_nullable_filter_group_mutate,4.7076701980s,0.0975928330s,0.0109708470s
INFO,2024-06-06 16:37:09.543,test_nullable_filter_group_mutate_reduce,4.4498744820s,0.1037413780s,0.0133129280s
INFO,2024-06-06 16:37:14.506,test_nullable_filter_group_select,4.8276427370s,0.0970861860s,0.0095658790s
INFO,2024-06-06 16:37:18.746,test_nullable_filter_reduce,4.1125212210s,0.0954163930s,0.0090927180s
INFO,2024-06-06 16:37:21.554,test_nullable_filter_select,2.6805764110s,0.0947724710s,0.0090821220s
