level,timestamp,test_name,renoir_compile_time,renoir_execution_time,ibis_total_time
INFO,2024-05-31 12:13:02.065,test_nullable_windowing_implicit_sum,4.1885353780s,0.0948249230s,0.0109962350s
INFO,2024-05-31 15:25:19.146,test_nexmark_query_1,2.4651220280s,0.0906960000s,0.0442038370s
INFO,2024-05-31 15:26:07.331,test_nexmark_query_1,1.7269369390s,0.0866832130s,0.0403311930s
INFO,2024-05-31 15:26:15.537,test_nexmark_query_1,1.7474509880s,0.0889564240s,0.0400651580s
INFO,2024-05-31 15:26:18.049,test_nexmark_query_2,2.3021198290s,0.0872177240s,0.0501221560s
INFO,2024-05-31 15:26:21.820,test_nexmark_query_3,3.5818047040s,0.0910798170s,0.0264799410s
INFO,2024-05-31 15:26:27.555,test_nexmark_query_4,5.4990825960s,0.0940373280s,0.0699165410s
INFO,2024-05-31 15:26:32.521,test_nexmark_query_6,4.7367173290s,0.0970095940s,0.0776315070s
INFO,2024-05-31 15:26:35.897,test_non_nullable_filter_filter_select_select,2.4661422970s,0.0870916130s,0.1791104230s
INFO,2024-05-31 15:26:38.912,test_non_nullable_filter_group_mutate,2.8897829780s,0.0877365810s,0.0160312200s
INFO,2024-05-31 15:26:41.888,test_non_nullable_filter_group_mutate_reduce,2.8547622481s,0.0876448080s,0.0160244550s
INFO,2024-05-31 15:26:44.925,test_non_nullable_filter_group_select,2.9186171030s,0.0894260920s,0.0131065420s
INFO,2024-05-31 15:26:47.801,test_non_nullable_filter_reduce,2.7637128690s,0.0851864110s,0.0118588140s
INFO,2024-05-31 15:26:50.275,test_non_nullable_filter_select,2.3608767690s,0.0866346980s,0.0122124080s
INFO,2024-05-31 15:26:54.836,test_non_nullable_group_reduce_group_reduce_join,4.4252151700s,0.0921336740s,0.0228755040s
INFO,2024-05-31 15:26:59.438,test_non_nullable_group_reduce_join_mutate,4.4580900710s,0.0938038520s,0.0245215750s
INFO,2024-05-31 15:27:03.175,test_non_nullable_inner_join_select,3.5886355070s,0.0917661360s,0.0276237360s
INFO,2024-05-31 15:27:07.753,test_non_nullable_join_group_reduce,4.3717037470s,0.1166483570s,0.0459391960s
INFO,2024-05-31 15:27:11.359,test_non_nullable_left_join,3.4618256880s,0.0893436230s,0.0208277230s
INFO,2024-05-31 15:27:14.287,test_non_nullable_outer_join,2.7498282440s,0.0924217540s,0.0228793590s
INFO,2024-05-31 15:27:16.830,test_nullable_filter_filter_select_select,2.4189528610s,0.0872045060s,0.0105663990s
INFO,2024-05-31 15:27:19.915,test_nullable_filter_group_mutate,2.9549356030s,0.0898425320s,0.0111651590s
INFO,2024-05-31 15:27:22.990,test_nullable_filter_group_mutate_reduce,2.9442614880s,0.0909679920s,0.0125087770s
INFO,2024-05-31 15:27:26.051,test_nullable_filter_group_select,2.9380806000s,0.0879699280s,0.0098306350s
INFO,2024-05-31 15:27:28.955,test_nullable_filter_reduce,2.7800909870s,0.0911699120s,0.0096959750s
INFO,2024-05-31 15:27:31.436,test_nullable_filter_select,2.3607950550s,0.0872263670s,0.0097303270s
INFO,2024-05-31 15:27:35.901,test_nullable_group_reduce_group_reduce_join,4.3283759630s,0.0919099300s,0.0164838530s
INFO,2024-05-31 15:27:40.325,test_nullable_group_reduce_join_mutate,4.2700629060s,0.0933819210s,0.0213757260s
INFO,2024-05-31 15:27:43.987,test_nullable_inner_join_select,3.5173852390s,0.0912188170s,0.0203619270s
INFO,2024-05-31 15:27:48.303,test_nullable_join_group_reduce,4.1793592920s,0.0909198650s,0.0145922300s
INFO,2024-05-31 15:27:51.902,test_nullable_left_join,3.4532095030s,0.0917948300s,0.0135196280s
